file,line,column,rule,ruleset,priority,description
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,3,,CommentRequired,Documentation,3,Class comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,3,,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,7,,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,16,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,16,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,ShortVariable,Code Style,3,Avoid variables with short names like a
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'a' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,ShortVariable,Code Style,3,Avoid variables with short names like b
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'b' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,ShortVariable,Code Style,3,Avoid variables with short names like c
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'c' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,3,,CommentRequired,Documentation,3,Class comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,3,,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,3,8,CommentRequired,Documentation,3,Class comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,3,8,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,16,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,24,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\CleanDemo.java,4,34,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,7,8,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,16,24,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,16,34,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,16,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,29,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,22,39,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,29,ShortVariable,Code Style,3,Avoid variables with short names like a
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,29,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'a' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,36,ShortVariable,Code Style,3,Avoid variables with short names like b
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,36,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'b' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,43,ShortVariable,Code Style,3,Avoid variables with short names like c
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java,30,43,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'c' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,3,8,CommentRequired,Documentation,3,Class comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,3,8,AtLeastOneConstructor,Code Style,3,Each class should declare at least one constructor
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,16,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,24,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,4,34,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,16,CommentRequired,Documentation,3,Public method and constructor comments are required
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,29,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'left' is not assigned and could be declared final
D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java,8,39,MethodArgumentCouldBeFinal,Code Style,3,Parameter 'right' is not assigned and could be declared final
