file,line,column,severity,rule_id,message
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\complexity.js,1,8,1,complexity,Function 'complexityDemo' has a complexity of 12. Maximum allowed is 10.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\depth_five.js,6,11,1,max-depth,Blocks are nested too deeply (5). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\depth_six_violation.js,6,11,1,max-depth,Blocks are nested too deeply (5). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\depth_six_violation.js,7,13,1,max-depth,Blocks are nested too deeply (6). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\loop_nesting.js,7,11,1,max-depth,Blocks are nested too deeply (5). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\loop_nesting.js,8,13,1,max-depth,Blocks are nested too deeply (6). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\max_depth.js,6,11,1,max-depth,Blocks are nested too deeply (5). Maximum allowed is 4.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\max_lines.js,1,8,1,max-lines-per-function,Function 'longFunction' has too many lines (55). Maximum allowed is 50.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\max_lines.js,1,8,1,max-statements,Function 'longFunction' has too many statements (53). Maximum allowed is 20.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\max_params.js,1,8,1,max-params,Function 'tooManyParams' has too many parameters (6). Maximum allowed is 5.
D:\Research in Missing Metrics\JavaScript\Maintainability Rating (SQALE A-E)\workspace\sqale_rating_benchmark\cases\max_statements.js,1,8,1,max-statements,Function 'manyStatements' has too many statements (23). Maximum allowed is 20.
